LAT	LON	SPEED	COURSE	HEADING	ELAPSED	SHIPNAME	SHIPTYPE	SHIP_ID
10.71	-28.30167	196	40	40	243	MSC CATERINA	7	3583369
11.65861	-27.59014	188	35	35	4	[SAT-AIS]	7	T0RBM01EUXdPREEzTURRd09EQTNNQT09LVVlRllSaUxUaXlVQjNsTDZrV29PcFE9PQ==
63.69698	-20.82891	17	306	354	3	HAKON	2	294354
66.45739	-15.94221	0	292	292	2	KRISTIN	2	294019
40.34485	-67.32639	91	287	287	4	[SAT-AIS]	8	TnpRNE1EZ3lOelE0TURneU56UTRNQT09LWx6NTVHZVdlRC9uR0RWcFE5WURwbVE9PQ==
59.69723	-176.3169	67	248	248	8	[SAT-AIS]	2	TkRNeU5EQTRORE15TkRBNE5ETXlOQT09LWN4enhBczFQeVRScVIvRTVVb3VNNlE9PQ==
63.46589	-51.89475	115	130	130	8	[SAT-AIS]	2	TVRrM016RXdNVGszTXpFd01UazNNdz09LXpjcXVPUVQyR2s5L1dtRys1NjVOcFE9PQ==
47.01451	-4.787083	38	296	290	1	XEOS	2	162598
54.52543	10.44758	127	74	75	1	ANNABA	7	757627
57.45512	-172.5635	25	221	221	7	[SAT-AIS]	2	T1RFeE1qQXhPVEV4TWpBeE9URXhNZz09LTBtYWZKUkpIQmExS0ZRZWoyRjdWSWc9PQ==
62.87643	-24.54125	47	239	251	1	ARNAR	2	293301
37.31761	-26.52271	88	265	263	348	RIKKE	7	4233293
37.26833	-27.605	80	270	270	5	[SAT-AIS]	7	TWpJeE5Ua3pNakl4TlRrek1qSXhOUT09LWVueVIyYTQ4UzhTb1BtQjdFZmJ3K0E9PQ==
49.86399	9.15799	0	175	175	2	LINZ	7	140096
59.18258	-176.8322	9	129	129	4	[SAT-AIS]	2	TlRnM01UVTVOVGczTVRVNU5UZzNNUT09LXY1cmE1UThtQ3I2OWM0Q0t1VmFzbnc9PQ==
45.05333	-92.80167	0			8	[SAT-AIS]	6	TWpNNE9EazBNak00T0RrME1qTTRPQT09LS95T2JxSUowVmRkdDUxcHB1ZlZXWlE9PQ==
28.82604	-138.7177	203	71	71	4	[SAT-AIS]	7	TXpJMU16ZzJNekkxTXpnMk16STFNdz09LTNlbmd2Z3BITjhldWZXRnZZbzB1OGc9PQ==
16.47354	-155.5412	45	41	41	7	[SAT-AIS]	2	TmpNNU1qRTJOak01TWpFMk5qTTVNZz09LU43SEFDdlgxaEQvbUc4c1ZzeW85UkE9PQ==
26.3645	-124.7817	130	111	111	5	[SAT-AIS]	8	TVRnME56a3hNVGcwTnpreE1UZzBOdz09LTk1NkdnYXhNZTVMMjBjUldGbjB5OXc9PQ==
11.94171	-23.04271	110	27	29	26	HEMUS	7	303430
12.00132	-23.0103	111	27	27	4	[SAT-AIS]	7	T0RFM01EazVPREUzTURrNU9ERTNNQT09LVBkVStjZlhwTGJEZDRoanI1QVBtdnc9PQ==
-4.346685	7.30021	128	284	284	5	[SAT-AIS]	7	TWpVNU5UY3pNalU1TlRjek1qVTVOUT09LXBWdVRzZGYxWnRwR2cxT2VWZFVFZlE9PQ==
59.23531	-144.2954	125	106	106	7	[SAT-AIS]	3	TkRFME9UVXdOREUwT1RVd05ERTBPUT09LWwrb0ZCdHNpV3RPTU9maC9aeDdnSWc9PQ==
