icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source
"a820c8","N6225X  ","United States",1614114840,1614114840,-87.7487,34.9194,3322.32,false,101.29,331.48,-7.15,null,3474.72,null,false,0
"a3d093","JTL345  ","United States",1614114953,1614114953,-87.7609,41.787,null,true,0,157.5,null,null,null,"1437",false,0
"4851b3","        ","Kingdom of the Netherlands",1614114945,1614114950,-79.6197,43.6818,null,true,0,348.75,null,null,null,"0741",false,0
"a54d4d","OXF1692 ","United States",1614114964,1614114964,-112.1264,32.85,1897.38,false,62.2,20.83,-1.95,null,1905,null,false,0
"a0a18a","N14NG   ","United States",1614114940,1614114940,-80.7562,28.9502,2987.04,false,132.13,157.33,0.33,null,3078.48,null,false,0
"a9ff49","SKW5258 ","United States",1614114964,1614114964,-104.6842,39.8434,null,true,14.4,180,null,null,null,null,false,0
"a54d64","OXF1988 ","United States",1614114964,1614114964,-112.0065,33.8424,1638.3,false,58.52,104.77,-0.98,null,1630.68,"4760",false,0
"424322","SAY9783 ","United Kingdom",1614114964,1614114964,44.3323,60.6875,10058.4,false,227.43,84.42,0,null,9669.78,null,false,0
"a953b7","N70RL   ","United States",1614114963,1614114964,-99.8656,30.0905,11277.6,false,273.21,109.7,0.33,null,11689.08,"1575",false,0
"a3148c","N298PW  ","United States",1614114943,1614114945,-119.8781,35.8754,3048,false,41.85,136.49,1.3,null,3101.34,null,false,0
"a1057a","AAL1893 ","United States",1614114945,1614114950,-97.0364,32.8953,null,true,0,312.19,null,null,null,null,false,0
"ae290a","C6026   ","United States",1614114964,1614114964,-123.4194,48.1417,-68.58,false,39.45,282.04,5.53,null,22.86,null,false,0
"ad12e0","SWA2022 ","United States",1614114963,1614114964,-101.0611,34.9162,7223.76,false,217.38,112.98,12.35,null,7399.02,null,false,0
"a219b2","N234ZY  ","United States",1614114946,1614114946,-73.5339,41.1747,998.22,false,74.11,178.41,0,null,845.82,null,false,0
"a690ef","LXJ522  ","United States",1614114963,1614114964,-90.1397,36.5096,13114.02,false,181.71,232.71,-0.65,null,13365.48,"6743",false,0
"a4e4bf","UAL448  ","United States",1614114964,1614114964,-75.1651,43.0811,10965.18,false,198.66,274.46,0,null,10622.28,"3447",false,0
"a953ae","WMU37   ","United States",1614114808,1614114808,-85.3767,42.5451,944.88,false,62.35,333.01,0.65,null,723.9,"1200",false,0
"abd2e6","","United States",null,1614114927,null,null,10972.8,false,216.53,316.64,0,null,null,null,false,0
"7807d5","CES7160 ","China",1614114964,1614114964,48.7066,60.8127,10668,false,224.87,88.69,0,null,10187.94,null,false,0
"a6874f","N52HL   ","United States",1614114964,1614114964,-86.4529,35.343,2377.44,false,102.19,4.62,0.65,null,2407.92,null,false,0
"a33272","FFT1510 ","United States",1614114964,1614114964,-75.9251,38.798,9075.42,false,214.12,36.4,-9.1,null,8923.02,"2163",false,0
"a8deb4","DAL2163 ","United States",1614114751,1614114963,-100.2395,38.5418,12496.8,false,271.01,110.33,0,null,12618.72,"3703",false,0
